Date;Symbol;Indexvalue
19.01.2021;V6I1;21.8063
20.01.2021;V6I1;20.2513
21.01.2021;V6I1;19.7908
22.01.2021;V6I1;21.1185
25.01.2021;V6I1;26.0963
26.01.2021;V6I1;22.7844
27.01.2021;V6I1;26.6665
28.01.2021;V6I1;25.5274
29.01.2021;V6I1;29.0254
01.02.2021;V6I1;26.4811
02.02.2021;V6I1;22.9003
03.02.2021;V6I1;21.3446
04.02.2021;V6I1;19.88
05.02.2021;V6I1;18.6685
08.02.2021;V6I1;18.1249
09.02.2021;V6I1;18.9367
10.02.2021;V6I1;21.2049
11.02.2021;V6I1;19.0081
12.02.2021;V6I1;15.9891
15.02.2021;V6I1;17.8054
16.02.2021;V6I1;20.4394
17.02.2021;V6I1;21.8722
22.02.2021;V6I1;21.2795
23.02.2021;V6I1;22.8803
24.02.2021;V6I1;20.9352
25.02.2021;V6I1;21.8779
26.02.2021;V6I1;27.345
01.03.2021;V6I1;21.9357
02.03.2021;V6I1;21.4852
03.03.2021;V6I1;21.1304
04.03.2021;V6I1;21.5661
05.03.2021;V6I1;25.3707
08.03.2021;V6I1;20.3187
09.03.2021;V6I1;18.7525
10.03.2021;V6I1;17.9047
11.03.2021;V6I1;16.1886
12.03.2021;V6I1;14.9179
15.03.2021;V6I1;17.4411
16.03.2021;V6I1;17.7246
17.03.2021;V6I1;19.7491
22.03.2021;V6I1;17.0002
23.03.2021;V6I1;16.8085
24.03.2021;V6I1;16.9652
25.03.2021;V6I1;18.0477
26.03.2021;V6I1;16.0518
29.03.2021;V6I1;17.3107
30.03.2021;V6I1;17.502
31.03.2021;V6I1;17.1929
01.04.2021;V6I1;15.336
06.04.2021;V6I1;15.8501
07.04.2021;V6I1;14.6941
08.04.2021;V6I1;13.6882
09.04.2021;V6I1;12.426
12.04.2021;V6I1;14.9833
13.04.2021;V6I1;14.7826
14.04.2021;V6I1;15.0532
19.04.2021;V6I1;17.3457
20.04.2021;V6I1;21.0818
21.04.2021;V6I1;19.2733
22.04.2021;V6I1;17.6673
23.04.2021;V6I1;18.0186
26.04.2021;V6I1;17.9146
27.04.2021;V6I1;18.8828
28.04.2021;V6I1;17.9405
29.04.2021;V6I1;18.1829
30.04.2021;V6I1;20.2482
03.05.2021;V6I1;19.3072
04.05.2021;V6I1;22.8759
05.05.2021;V6I1;19.0592
06.05.2021;V6I1;19.5129
07.05.2021;V6I1;16.8662
10.05.2021;V6I1;17.5728
11.05.2021;V6I1;23.8727
12.05.2021;V6I1;24.4591
13.05.2021;V6I1;23.4008
14.05.2021;V6I1;18.5412
17.05.2021;V6I1;24.226
18.05.2021;V6I1;20.8762
19.05.2021;V6I1;27.2937
24.05.2021;V6I1;18.713
25.05.2021;V6I1;18.4514
26.05.2021;V6I1;17.5323
27.05.2021;V6I1;17.1065
28.05.2021;V6I1;16.249
31.05.2021;V6I1;18.6182
01.06.2021;V6I1;18.0877
02.06.2021;V6I1;16.8663
03.06.2021;V6I1;16.9919
04.06.2021;V6I1;15.9022
07.06.2021;V6I1;16.3383
08.06.2021;V6I1;16.6001
09.06.2021;V6I1;16.2692
10.06.2021;V6I1;15.2532
11.06.2021;V6I1;12.7736
14.06.2021;V6I1;16.5514
15.06.2021;V6I1;16.655
16.06.2021;V6I1;19.3163
21.06.2021;V6I1;19.2537
22.06.2021;V6I1;16.9816
23.06.2021;V6I1;18.2489
24.06.2021;V6I1;16.7359
25.06.2021;V6I1;15.7008
28.06.2021;V6I1;16.9762
29.06.2021;V6I1;15.8957
30.06.2021;V6I1;17.7424
01.07.2021;V6I1;16.833
02.07.2021;V6I1;15.2691
05.07.2021;V6I1;15.6821
06.07.2021;V6I1;17.8085
07.07.2021;V6I1;16.0969
08.07.2021;V6I1;20.316
09.07.2021;V6I1;15.4614
12.07.2021;V6I1;18.3351
13.07.2021;V6I1;18.8967
14.07.2021;V6I1;16.3472
19.07.2021;V6I1;25.3888
20.07.2021;V6I1;24.4876
21.07.2021;V6I1;21.5132
22.07.2021;V6I1;19.8083
23.07.2021;V6I1;17.2028
26.07.2021;V6I1;17.7334
27.07.2021;V6I1;20.8305
28.07.2021;V6I1;18.5585
29.07.2021;V6I1;18.3419
30.07.2021;V6I1;20.11
02.08.2021;V6I1;18.4126
03.08.2021;V6I1;18.4558
04.08.2021;V6I1;16.9788
05.08.2021;V6I1;15.5763
06.08.2021;V6I1;14.9772
09.08.2021;V6I1;14.0804
10.08.2021;V6I1;13.5249
11.08.2021;V6I1;13.3746
12.08.2021;V6I1;12.2465
13.08.2021;V6I1;10.4811
16.08.2021;V6I1;15.4784
17.08.2021;V6I1;15.706
18.08.2021;V6I1;15.6691
23.08.2021;V6I1;17.2184
24.08.2021;V6I1;17.3091
25.08.2021;V6I1;16.8639
26.08.2021;V6I1;18.3172
27.08.2021;V6I1;16.2347
30.08.2021;V6I1;15.7346
31.08.2021;V6I1;17.4965
01.09.2021;V6I1;15.832
02.09.2021;V6I1;15.0432
03.09.2021;V6I1;17.0266
06.09.2021;V6I1;15.4282
07.09.2021;V6I1;16.8012
08.09.2021;V6I1;20.68
09.09.2021;V6I1;18.8229
10.09.2021;V6I1;18.8076
13.09.2021;V6I1;21.2401
14.09.2021;V6I1;20.9244
15.09.2021;V6I1;26.125
20.09.2021;V6I1;26.4849
21.09.2021;V6I1;25.4066
22.09.2021;V6I1;22.4632
23.09.2021;V6I1;19.9416
24.09.2021;V6I1;21.562
27.09.2021;V6I1;20.1661
28.09.2021;V6I1;25.1555
29.09.2021;V6I1;23.6712
30.09.2021;V6I1;22.5456
01.10.2021;V6I1;23.2104
04.10.2021;V6I1;25.426
05.10.2021;V6I1;21.3205
06.10.2021;V6I1;24.5039
07.10.2021;V6I1;19.8826
08.10.2021;V6I1;17.7876
11.10.2021;V6I1;19.7449
12.10.2021;V6I1;21.0447
13.10.2021;V6I1;20.0246
18.10.2021;V6I1;17.4014
19.10.2021;V6I1;16.4182
20.10.2021;V6I1;15.9356
21.10.2021;V6I1;16.5336
22.10.2021;V6I1;15.9979
25.10.2021;V6I1;15.3288
26.10.2021;V6I1;15.1518
27.10.2021;V6I1;15.8622
28.10.2021;V6I1;16.639
29.10.2021;V6I1;16.6323
01.11.2021;V6I1;15.9829
02.11.2021;V6I1;15.1759
03.11.2021;V6I1;14.7926
04.11.2021;V6I1;14.0729
05.11.2021;V6I1;14.2076
08.11.2021;V6I1;14.5196
09.11.2021;V6I1;15.5499
10.11.2021;V6I1;14.3703
11.11.2021;V6I1;13.8116
12.11.2021;V6I1;11.856
15.11.2021;V6I1;13.706
16.11.2021;V6I1;14.0184
17.11.2021;V6I1;13.949
22.11.2021;V6I1;18.4802
23.11.2021;V6I1;20.4013
24.11.2021;V6I1;20.3585
25.11.2021;V6I1;19.3137
26.11.2021;V6I1;34.1228
29.11.2021;V6I1;30.3143
30.11.2021;V6I1;31.4752
01.12.2021;V6I1;26.4231
02.12.2021;V6I1;32.027
03.12.2021;V6I1;33.0782
06.12.2021;V6I1;31.2806
07.12.2021;V6I1;24.8722
08.12.2021;V6I1;25.7776
09.12.2021;V6I1;24.2221
10.12.2021;V6I1;21.8006
13.12.2021;V6I1;24.8641
14.12.2021;V6I1;29.6345
15.12.2021;V6I1;36.1102
20.12.2021;V6I1;26.9393
21.12.2021;V6I1;22.9238
22.12.2021;V6I1;21.0098
23.12.2021;V6I1;18.8168
27.12.2021;V6I1;18.8984
28.12.2021;V6I1;18.0852
29.12.2021;V6I1;19.3421
30.12.2021;V6I1;18.2829
03.01.2022;V6I1;17.9731
04.01.2022;V6I1;17.0584
05.01.2022;V6I1;15.9414
06.01.2022;V6I1;18.8092
07.01.2022;V6I1;19.495
10.01.2022;V6I1;22.4493
11.01.2022;V6I1;18.9058
12.01.2022;V6I1;16.5361
13.01.2022;V6I1;16.4379
14.01.2022;V6I1;20.6483
17.01.2022;V6I1;18.4853
18.01.2022;V6I1;23.8679
19.01.2022;V6I1;25.6349
24.01.2022;V6I1;33.1309
25.01.2022;V6I1;31.8679
26.01.2022;V6I1;28.6666
27.01.2022;V6I1;28.1695
28.01.2022;V6I1;29.5745
31.01.2022;V6I1;27.0064
01.02.2022;V6I1;23.478
02.02.2022;V6I1;21.4387
03.02.2022;V6I1;23.1523
04.02.2022;V6I1;25.4107
07.02.2022;V6I1;22.7366
08.02.2022;V6I1;21.1603
09.02.2022;V6I1;19.5057
10.02.2022;V6I1;19.9288
11.02.2022;V6I1;22.9472
14.02.2022;V6I1;35.9786
15.02.2022;V6I1;31.4408
16.02.2022;V6I1;29.6131
21.02.2022;V6I1;37.1309
22.02.2022;V6I1;33.5815
23.02.2022;V6I1;34.1292
24.02.2022;V6I1;39.5767
25.02.2022;V6I1;33.0401
28.02.2022;V6I1;37.997
01.03.2022;V6I1;45.8632
02.03.2022;V6I1;42.3999
03.03.2022;V6I1;44.817
04.03.2022;V6I1;56.681
07.03.2022;V6I1;56.7423
08.03.2022;V6I1;53.5924
09.03.2022;V6I1;52.0461
10.03.2022;V6I1;53.6043
11.03.2022;V6I1;52.4493
14.03.2022;V6I1;56.4255
15.03.2022;V6I1;56.6732
16.03.2022;V6I1;53.3875
21.03.2022;V6I1;28.164
22.03.2022;V6I1;27.0446
23.03.2022;V6I1;30.8503
24.03.2022;V6I1;31.5853
25.03.2022;V6I1;32.8909
